g2p id,gene symbol,gene mim,hgnc id,previous gene symbols,disease name,disease mim,disease MONDO,allelic requirement,cross cutting modifier,confidence,inferred variant consequence,variant types,molecular mechanism,molecular mechanism categorisation,molecular mechanism evidence,phenotypes,publications,panel,comments,date of last review
G2P03097,MED27,605044,HGNC:2377,CRSP34; CRSP8; MED3; TRAP37,MED27-related neurodevelopmental disorder,,MONDO:0700092,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,33443317; 37517035,DD,,2021-01-28 16:46:55+00:00
G2P03112,NFE2L2,600492,HGNC:7782,NRF-2; NRF2,"NFE2L2-related leukoencephalopathy, immune deficiency and hypohomocysteinaemia",617744,,monoallelic_autosomal,restricted mutation set,strong,altered gene product structure,,gain of function,inferred,,HP:0001871; HP:0002715; HP:0011844; HP:0001367; HP:0001903; HP:0000951; HP:0002817; HP:0001155; HP:0000098; HP:0001167; HP:0011297; HP:0000153; HP:0000271; HP:0001780; HP:0001760; HP:0006487; HP:0000366; HP:0004209; HP:0000014; HP:0004349; HP:0001654; HP:0004452; HP:0000370; HP:0002815; HP:0000159; HP:0001000; HP:0011968; HP:0002315; HP:0000518; HP:0100326; HP:0000501; HP:0001608; HP:0001511; HP:0000177; HP:0002099; HP:0002020; HP:0002076; HP:0002100; HP:0002240; HP:0002857; HP:0000939; HP:0001744; HP:0000545; HP:0000233; HP:0011003; HP:0000319; HP:0000362; HP:0000963; HP:0001620; HP:0001659; HP:0001773,29018201,DD,,2021-03-29 14:20:52+00:00
G2P03159,POU4F1,601632,HGNC:9218,BRN3A; RDC-1,"POU4F1-related ataxia, intention tremor, and hypotonia syndrome",619352,,monoallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,33783914,DD,,2021-07-16 18:08:36+00:00
G2P03168,GLRA1,138491,HGNC:4326,STHE,GLRA1-related hyperexplexia,149400,,monoallelic_autosomal,,definitive,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,24030948; 30109271; 24970905; 9920650; 20631190; 8733061; 14580232; 14673895; 15771552; 18043720; 19073849; 24969041; 29602144; 30182260,DD,,2025-01-21 13:23:54+00:00
G2P03169,GLRA1,138491,HGNC:4326,STHE,GLRA1-related hyperexplexia,149400,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,24030948; 28985719; 32319239; 24970905; 32332682; 25036534; 20631190; 8651283; 10514101; 16078201; 16832093; 17534957; 22264702; 22290764; 23143726; 35636282; 36434917,DD,,2025-01-21 13:23:36+00:00
G2P03173,KCNA1,176260,HGNC:6218,AEMK; HUK1; KV1.1; MBK1; RBK1,KCNA1-related epileptic encephalopathy,,,biallelic_autosomal,,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,31586945,DD,,2025-01-21 13:59:10+00:00
G2P03184,PUS3,616283,HGNC:25461,DEG1; FKSG32,PUS3-related neurodevelopmental disorder with microcephaly and gray sclerae,,,biallelic_autosomal,,definitive,absent gene product,,loss of function,inferred,,,34415064; 32056211; 31444731; 30697592; 30308082; 27055666; 34713961; 36125428,DD,,2021-09-09 16:44:10+00:00
G2P03185,ATG7,608760,HGNC:16935,APG7L; DKFZP434N0735; GSA7,ATG7-related intellectual disability and ataxia,619422,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,34161705,DD,,2021-09-29 10:48:29+00:00
G2P03201,RYR2,180902,HGNC:10484,ARVC2; ARVD2; VTSIP,RYR2-related catecholaminergic polymorphic ventricular tachycardia and intellectual disability,,,monoallelic_autosomal,potential secondary finding,limited,altered gene product structure,inframe_insertion; missense_variant; inframe_deletion,undetermined,inferred,,,30170228; 11157710; 15544013; 15544015; 15720454; 16084945; 16188589; 16272262; 17875969; 19781797; 19926015; 21126784; 21652165; 22222782; 22334434; 22519458,DD,,2025-01-21 15:05:05+00:00
G2P03207,ONECUT1,604164,HGNC:8138,HNF-6; HNF6; HNF6A,ONECUT1-related neonatal diabetes,,,biallelic_autosomal,,strong,absent gene product,,loss of function,inferred,,,34663987; 37639628; 37941991,DD,,2025-01-16 11:29:57+00:00
